time,event_type,bot_id,rack_id,stop_index,exit_id,leg_type,from_node,to_node,travel_start,travel_end,distance_m,n_turns,travel_time_s,queue_delay_s,service_start,service_end,release_time_s,n_os_stop,n_os,n_stops,trip_start,trip_end,trip_duration_s,travel_distance_total,travel_time_total,queue_time_total,release_time_total,cycle_time_total
2986.75,exit_stop_service,BOT_22,RACK_521,1.0,EXIT_31,,,,,,,,,0.0,2980.75,2986.75,6.0,1.0,,,,,,,,,,
2989.5,travel_leg,BOT_1,RACK_530,1.0,EXIT_26,receiving_to_first_exit,receiving,EXIT_26,2906.0,2989.5,63.599999999999994,2.0,83.49999999999999,,,,,,,,,,,,,,,
2993.75,travel_leg,BOT_30,RACK_525,1.0,EXIT_29,receiving_to_first_exit,receiving,EXIT_29,2882.5,2993.75,85.80000000000001,2.0,111.25000000000001,,,,,,,,,,,,,,,
2995.25,return_leg,BOT_10,RACK_492,1.0,EXIT_32,last_exit_to_return,EXIT_32,return,2854.5,2995.25,107.80000000000003,3.0,140.75000000000003,,,,,,,,,,,,,,,
2995.25,trip_completed,BOT_10,RACK_492,,,,,,,,,,,,,,,,1.0,1.0,2709.5,2995.25,285.75,215.80000000000007,279.75000000000006,0.0,6.0,285.75
2995.5,exit_stop_service,BOT_1,RACK_530,1.0,EXIT_26,,,,,,,,,0.0,2989.5,2995.5,6.0,1.0,,,,,,,,,,
2996.75,return_leg,BOT_13,RACK_493,1.0,EXIT_31,last_exit_to_return,EXIT_31,return,2865.25,2996.75,100.40000000000002,3.0,131.5,,,,,,,,,,,,,,,
2996.75,trip_completed,BOT_13,RACK_493,,,,,,,,,,,,,,,,1.0,1.0,2729.5,2996.75,267.25,201.00000000000006,261.25,0.0,6.0,267.25
2998.0,travel_leg,BOT_21,RACK_529,1.0,EXIT_28,receiving_to_first_exit,receiving,EXIT_28,2896.0,2998.0,78.4,2.0,102.0,,,,,,,,,,,,,,,
2999.75,exit_stop_service,BOT_30,RACK_525,1.0,EXIT_29,,,,,,,,,0.0,2993.75,2999.75,6.0,1.0,,,,,,,,,,
3001.375,travel_leg,BOT_5,RACK_536,1.0,EXIT_7,receiving_to_first_exit,receiving,EXIT_7,2936.75,3001.375,48.50000000000001,2.0,64.625,,,,,,,,,,,,,,,
3003.25,return_leg,BOT_2,RACK_506,1.0,EXIT_29,last_exit_to_return,EXIT_29,return,2890.25,3003.25,85.60000000000001,3.0,113.0,,,,,,,,,,,,,,,
3003.25,trip_completed,BOT_2,RACK_506,,,,,,,,,,,,,,,,1.0,1.0,2773.0,3003.25,230.25,171.40000000000003,224.25,0.0,6.0,230.25
3003.75,travel_leg,BOT_19,RACK_538,1.0,EXIT_22,receiving_to_first_exit,receiving,EXIT_22,2957.25,3003.75,34.0,2.0,46.5,,,,,,,,,,,,,,,
3004.0,exit_stop_service,BOT_21,RACK_529,1.0,EXIT_28,,,,,,,,,0.0,2998.0,3004.0,6.0,1.0,,,,,,,,,,
3005.5,return_leg,BOT_14,RACK_534,1.0,EXIT_21,last_exit_to_return,EXIT_21,return,2966.5,3005.5,26.4,3.0,38.99999999999999,,,,,,,,,,,,,,,
3005.5,trip_completed,BOT_14,RACK_534,,,,,,,,,,,,,,,,1.0,1.0,2923.25,3005.5,82.25,52.99999999999999,76.24999999999999,0.0,6.0,82.25
3005.875,return_leg,BOT_36,RACK_531,1.0,EXIT_4,last_exit_to_return,EXIT_4,return,2957.375,3005.875,34.0,3.0,48.5,,,,,,,,,,,,,,,
3005.875,trip_completed,BOT_36,RACK_531,,,,,,,,,,,,,,,,1.0,1.0,2907.75,3005.875,98.125,65.7,92.125,0.0,6.0,98.125
3007.375,exit_stop_service,BOT_5,RACK_536,1.0,EXIT_7,,,,,,,,,0.0,3001.375,3007.375,6.0,1.0,,,,,,,,,,
3008.25,return_leg,BOT_27,RACK_495,1.0,EXIT_31,last_exit_to_return,EXIT_31,return,2876.75,3008.25,100.40000000000002,3.0,131.5,,,,,,,,,,,,,,,
3008.25,trip_completed,BOT_27,RACK_495,,,,,,,,,,,,,,,,1.0,1.0,2741.0,3008.25,267.25,201.00000000000006,261.25,0.0,6.0,267.25
3009.75,exit_stop_service,BOT_19,RACK_538,1.0,EXIT_22,,,,,,,,,0.0,3003.75,3009.75,6.0,1.0,,,,,,,,,,
3010.25,return_leg,BOT_6,RACK_511,1.0,EXIT_27,last_exit_to_return,EXIT_27,return,2915.75,3010.25,70.8,3.0,94.49999999999999,,,,,,,,,,,,,,,
